,layer550-650,extended_name
alb,177.2,Alboran Sea
swm1,181.96893,South Western Mediterranean west
swm2,175.18611,South Western Mediterranean east
nwm,186.52608,North Western Mediterranean 
tyr1,174.57378,Northern Tyrrhenian
tyr2,184.98633999999998,Southern Tyrrhenian
adr1,,Northern Adriatic
adr2,211.4955,Southern Adriatic
aeg,214.97165,Aegean Sea
ion1,186.56042,Western Ionian
ion2,188.51926,Eastern Ionian
ion3,197.16876000000002,Northern Ionian
lev1,188.5061,Western Levantine
lev2,185.28123,Northern Levantine
lev3,181.11305,Southern Levantine
lev4,178.60144,Eastern Levantine
