,layer550-650,extended_name
alb,2.842535,Alboran Sea
swm1,7.621123,South Western Mediterranean west
swm2,6.651478999999999,South Western Mediterranean east
nwm,10.613187,North Western Mediterranean 
tyr1,6.5700917,Northern Tyrrhenian
tyr2,9.515203999999999,Southern Tyrrhenian
adr1,,Northern Adriatic
adr2,11.262293,Southern Adriatic
aeg,13.405795999999999,Aegean Sea
ion1,9.824031,Western Ionian
ion2,6.361372,Eastern Ionian
ion3,10.517431,Northern Ionian
lev1,9.93765,Western Levantine
lev2,6.321093,Northern Levantine
lev3,4.967450599999999,Southern Levantine
lev4,2.0246494,Eastern Levantine
